Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0.014593,0.00028184,-0.00016073,0,0,0,9.6967,0.027851,0.00062733,-7.4684E-05,0.0296,-0.00011078,0.048661,0,0,0,0,0,0,package://ASK_3_description/meshes/base.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://ASK_3_description/meshes/base.STL,,BODY-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF_Link1,0.015742,2.0008E-06,0.05652,0,0,0,0.84408,0.0011915,-2.9889E-08,1.8508E-06,0.00074578,5.548E-08,0.00064082,0,0,0,0,0,0,package://ASK_3_description/meshes/LF_Link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://ASK_3_description/meshes/LF_Link1.STL,,LF-Link1-1/连接板-1;LF-Link1-1/AK80-8(3)-1;LF-Link1-1/连接板套-1,Origin_LF_HAA,LF_axis1,LF_HAA,revolute,0.1965,0.072,0,-1.5708,0,-1.5708,base,0,0,1,0,0,0,0,,,,,,,,
LF_Link2,-0.016452,0.016693,0.067293,0,0,0,1.8166,0.003278,0.001787,-2.1595E-06,0.0035781,1.8742E-06,0.0065662,0,0,0,0,0,0,package://ASK_3_description/meshes/LF_Link2.STL,0.027451,0.40784,0.36471,1,0,0,0,0,0,0,package://ASK_3_description/meshes/LF_Link2.STL,,LF-Link2-5/3#电机连接体-1;LF-Link2-5/3#电机固定壳-1;LF-Link2-5/左前腿内板-1;LF-Link2-5/左前腿外板-1;LF-Link2-5/防护套-1;LF-Link2-5/AK80-8(3)-1;LF-Link2-5/摇杆底座-1;LF-Link2-5/摇杆上座-1;LF-Link2-5/连杆-1,Origin_LF_HFE,LF_axis2,LF_HFE,revolute,0.004,0,0.066,3.1416,-1.5708,0,LF_Link1,0,0,-1,0,0,0,0,,,,,,,,
LF_Link3,0.070778,0.071405,-0.0025021,0,0,0,0.20609,0.00069042,-0.00080696,1.2982E-08,0.001043,8.2699E-09,0.0017245,0,0,0,0,0,0,package://ASK_3_description/meshes/LF_Link3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://ASK_3_description/meshes/LF_Link3.STL,,LF-link3-1/kneeJoint小腿-2-1;LF-link3-1/足头体1-1/橡胶足头-1,Origin_LF_KFE,LF_axis3,LF_KFE,revolute,-0.18062,0.17285,0.0947,0,0,0,LF_Link2,0,0,1,0,0,0,0,,,,,,,,
LH_Link1,0.015742,-2.0009E-06,-0.05652,0,0,0,0.84408,0.0011915,2.989E-08,-1.8508E-06,0.00074578,5.548E-08,0.00064082,0,0,0,0,0,0,package://ASK_3_description/meshes/LH_Link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://ASK_3_description/meshes/LH_Link1.STL,,LH-Link1-4/连接板-1;LH-Link1-4/AK80-8(3)-1;LH-Link1-4/连接板套-1,Origin_LH_HAA,LH_axis1,LH_HAA,revolute,-0.1965,0.072,0,-1.5708,0,-1.5708,base,-1,0,0,0,0,0,0,,,,,,,,
LH_Link2,-0.016441,0.016704,0.067293,0,0,0,1.8166,0.0032804,0.0017872,-2.1582E-06,0.0035757,1.8756E-06,0.0065662,0,0,0,0,0,0,package://ASK_3_description/meshes/LH_Link2.STL,0.027451,0.40784,0.36471,1,0,0,0,0,0,0,package://ASK_3_description/meshes/LH_Link2.STL,,LH-Link2-7/3#电机连接体-1;LH-Link2-7/3#电机固定壳-1;LH-Link2-7/左前腿内板-1;LH-Link2-7/左前腿外板-1;LH-Link2-7/防护套-1;LH-Link2-7/连杆-1;LH-Link2-7/AK80-8(3)-1;LH-Link2-7/摇杆底座-1;LH-Link2-7/摇杆上座-1,Origin_LH_HFE,LH_axis2,LH_HFE,revolute,0.004,0,-0.066,3.1416,-1.5708,0,LH_Link1,0,0,-1,0,0,0,0,,,,,,,,
LH_Link3,0.070825,0.071358,-0.0025021,0,0,0,0.20609,0.00068935,-0.00080672,1.2987E-08,0.001044,8.261E-09,0.0017245,0,0,0,0,0,0,package://ASK_3_description/meshes/LH_Link3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://ASK_3_description/meshes/LH_Link3.STL,,LH_link3-3/kneeJoint小腿-2-1;LH_link3-3/足头体1-1/橡胶足头-1,Origin_LH_KFE,LH_axis3,LH_KFE,revolute,-0.18051,0.17297,0.0947,0,0,0,LH_Link2,0,0,1,0,0,0,0,,,,,,,,
RF_Link1,-0.015742,-2.0009E-06,0.05652,0,0,0,0.84408,0.0011915,-2.989E-08,-1.8508E-06,0.00074578,-5.548E-08,0.00064082,0,0,0,0,0,0,package://ASK_3_description/meshes/RF_Link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://ASK_3_description/meshes/RF_Link1.STL,,RF-Link1-1/连接板-1;RF-Link1-1/AK80-8(3)-1;RF-Link1-1/连接板套-1,Origin_RF_HAA,RF_axis1,RF_HAA,revolute,0.1965,-0.072,0,-1.5708,0,-1.5708,base,0,0,-1,0,0,0,0,,,,,,,,
RF_Link2,-0.01645,0.016695,-0.067293,0,0,0,1.8166,0.0032782,0.001787,2.082E-06,0.0035779,-1.9593E-06,0.0065662,0,0,0,0,0,0,package://ASK_3_description/meshes/RF_Link2.STL,0.027451,0.40784,0.36471,1,0,0,0,0,0,0,package://ASK_3_description/meshes/RF_Link2.STL,,RF-Link2-1/3#电机连接体-1;RF-Link2-1/3#电机固定壳（右）-1;RF-Link2-1/右前腿内板-1;RF-Link2-1/右防护套-1;RF-Link2-1/右前腿外板-1;RF-Link2-1/连杆-1;RF-Link2-1/AK80-8(3)-1;RF-Link2-1/右摇杆底座-1;RF-Link2-1/右摇杆上座-1,Origin_RF_HFE,RF_axis2,RF_HFE,revolute,-0.004,0,0.066,3.1416,-1.5708,0,RF_Link1,0,0,-1,0,0,0,0,,,,,,,,
RF_Link3,0.070778,0.071405,-0.0025021,0,0,0,0.20609,0.00069042,-0.00080696,1.2982E-08,0.001043,8.2699E-09,0.0017245,0,0,0,0,0,0,package://ASK_3_description/meshes/RF_Link3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://ASK_3_description/meshes/RF_Link3.STL,,RF-link3-1/kneeJoint小腿-2-1;RF-link3-1/足头体1-1/橡胶足头-1,Origin_RF_KFE,RF_axis3,RF_KFE,revolute,-0.18062,0.17285,-0.0897,0,0,0,RF_Link2,0,0,1,0,0,0,0,,,,,,,,
